vendor_name,total_expenditure,tx_count,mp_count,constituency_count,district_count
vishwakarma majoor sahakari sanstha mary,2077500.0,3,1,1,1
PATAN MAHABOOB BASHA,2076813.0,6,1,2,1
N B ENTERPRISE,2076261.0,3,1,1,1
VADLAKONDA PARAMESH,2076096.0,12,1,1,1
GRAMPANCHAYAT KARYALAYA SANGUCHIWADI,2075067.0,3,1,2,1
Gill Electric and Hardware,2074337.0,6,1,1,1
kamla prasad singh,2074325.0,3,1,1,1
SAMBANA SRNINIVASA RAO,2072832.0,2,1,1,1
kalpesh harishchandra pawar,2071264.0,7,1,1,1
GRAM PANCHAYAT MARALA NAGRAMA,2070795.0,17,1,1,1
PRATIKSHYA CONSTRUCTION,2069969.0,1,1,1,1
MS DUTTA CONSTRUCTION,2068419.0,9,1,2,1
KS KUNDAN INFRA PRIVATE LIMITED,2065983.0,3,1,1,1
Mittal Book Agency,2065000.0,192,1,2,1
SAGISHETTY JAGAN,2063579.0,3,1,1,1
NAGESH J,2062173.0,2,1,1,1
THE RAHAN COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LIMITED,2062155.0,12,1,1,1
SPA LABOUR CONTRACT COOPERATIVE SOCIETY LTD,2060354.0,2,1,1,1
CEO JP Pali sansad mad 18th,2060308.0,15,1,1,1
Jagat Singh Contractor,2059749.0,12,1,1,1
GRAM PANCHAYAT DUGGABEBGAL RAJYA PRAVARTIT YOJNA,2058000.0,6,1,2,1
SARPANCH SACHIV TERDUL,2056410.0,6,1,2,1
We R,2056040.0,2,1,1,1
ARIFUDDIN MOHAMMAD,2054758.0,6,1,1,1
BAGUI CONSTRUCTION,2053686.0,3,1,1,1
D VINOTH,2053569.0,3,1,2,1
RK ENTERPRISE,2053222.0,12,1,1,1
GUDISEVA NAGENDRAM,2052886.0,3,1,1,1
Thamilarasan,2051227.0,1,1,1,1
The Himansh Cooperative L and C Society,2051154.0,2,1,1,1
THE JANYA COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD,2050539.0,9,1,1,1
JITUMONI SUTRADAR,2050050.0,12,1,1,1
GP BEDAR,2050000.0,4,1,2,1
GULLE MAHIPAL,2050000.0,5,1,1,1
GRAM PANCHAYAT MANJHIPUR,2050000.0,8,1,2,1
GP LILGAWAN JP GAIRATGANJ,2050000.0,9,1,1,1
COMMISSIONER MUNICIPALI CORPORATION SANSA,2050000.0,9,1,1,1
ASHOK MAHATO,2050000.0,11,1,1,1
R K ENTERPRISES,2050000.0,4,1,1,1
Sridhar Ram Tripathi,2050000.0,4,1,1,1
BDO pragpur,2050000.0,25,1,3,1
A ARUCHAMY,2050000.0,4,1,1,1
Lali Gram Panchayat,2049543.0,7,1,1,1
Ms Krishan Lal Contractor,2049433.0,50,1,1,1
BALAJI P,2049280.0,4,1,1,1
SATNAM MOTOCORP PVT LTD,2049090.0,6,1,1,1
OM ENTERPRISE,2046713.0,44,2,2,2
GRAM PANCHAYAT BHATHA,2045036.0,26,1,1,1
DUDUUKUNTA NARESH REDDY,2044072.0,14,1,1,1
MAA VINDHYAVASINI CONSTRUCTION,2042934.0,3,1,1,1
THE KHERI GULAM ALI COOP L AND C,2041715.0,4,2,2,2
The Quality CO LC Society,2040888.0,3,1,1,1
SP ENTERPRISES,2039200.0,3,1,1,1
Executive Engineer electricty Distribution Division Kushinagar,2038182.0,6,1,1,1
K   MOHAN REDDY,2037956.0,6,1,1,1
Avuthu Narayana Reddy,2035425.0,3,1,1,1
GARWAL CONSTRUCTION COMPANY,2035254.0,6,1,1,1
RSR CONSTRUCTIONS,2033693.0,2,1,1,1
P KISHORE,2033598.0,6,1,1,1
AMAZING CONSTRUCTIONS,2029365.0,3,1,1,1
Sai Manjula Agencies,2029346.0,7,2,3,1
Baljeet Singh,2029266.0,7,1,1,1
MRINMOY BANERJEE,2028486.0,3,1,1,1
GRAM PANCHAYAT TURANGUR,2027961.0,6,1,2,1
AMASA MOHAN,2025285.0,6,1,1,1
SURENDRA,2025052.0,9,4,4,4
GRAM PANCHAYAT LAFA,2025000.0,12,1,1,1
GP Sanooh,2025000.0,21,1,1,1
SANJIV CONSTRUCTION,2022577.0,4,1,1,1
Patapalli Raghuramaiah,2021725.0,5,2,3,1
GP GHORAN,2020000.0,16,1,1,1
THE NEW GOYAT CO OP LANDC SOCIETY,2019960.0,3,1,1,1
om fhoji construction,2018862.0,6,1,1,1
MOHIT BUILDING CONSTRUCTIONS,2016972.0,1,1,1,1
GOVERDHAN ENTERPRISES,2014993.0,4,1,1,1
GRAM PANCHAYAT KHAPRIDIHKHURD,2013765.0,6,1,1,1
AWDHESH KUMAR PANDEY,2012887.0,2,1,1,1
SOHAN LAL ROAT,2012716.0,4,1,2,1
DHIBIN E S,2010855.0,1,1,1,1
MS SAFI CONSTRUCTION,2010620.0,4,1,1,1
Voice Tech,2010000.0,3,1,1,1
MS Prem Buliding Material,2009285.0,8,2,2,2
Priority Autoriders Private Ltd,2006269.0,17,1,1,1
Shiva Cement Store Kotdunna,2005902.0,49,2,2,2
Somnath Sasmal,2004120.0,3,1,1,1
CHIRASMITA BEHERA,2000000.0,6,1,2,1
Gram Panchayat Basiya Bhoti,2000000.0,13,1,1,1
D Parushuramulu,2000000.0,4,1,1,1
Narendran Builders,2000000.0,1,1,1,1
ARUNA,2000000.0,2,1,1,1
SARPANCH SACHIV GRAM PANCHAYT BAJRANGARH,2000000.0,4,1,1,1
SFC MULBHOOT MUNJ,2000000.0,8,1,2,1
GRAM PANCHAYAT KOHKA,2000000.0,4,1,1,1
GP Changori,2000000.0,4,1,1,1
SAHAYA THATHEYOUSH S,2000000.0,1,1,1,1
Boni Tamen,2000000.0,1,1,1,1
SARPANCH GRAM PANCHAYAT DARGAON,2000000.0,4,1,1,1
GP GOPISUR SATKUNDA JP SANCHI,2000000.0,4,1,1,1
VASANTHARAM ENTERPRISES,2000000.0,10,1,1,1
RI WAR JAINTIA COLLEGE,2000000.0,4,1,1,1
Kegom Bole,2000000.0,4,1,1,1
SARASWATI SISHU MANDIR BHAIROGANJ SEONI,2000000.0,2,1,1,1
RATANPURASHI GRAM PANCHAYAT,2000000.0,4,1,1,1
PRINCE ENTERPRISES,2000000.0,8,1,1,1
GRAM PANCHAYAT BIGRI,2000000.0,4,1,1,1
JUNIOR ENGINEER POTTANGI BLOCK 2,2000000.0,7,1,2,1
GRAM PANCHAYAT GADA,2000000.0,6,2,3,2
TAPABANTA SAHOO,2000000.0,4,1,1,1
T Vijayakumar,2000000.0,1,1,1,1
Oinam Premjit Singh,2000000.0,4,1,2,1
GRAM PANCHYAT goratila,2000000.0,4,1,1,1
Dhanora Gram Panchayat,2000000.0,4,1,1,1
GRAM PANCHAYAT KAPSDA,2000000.0,4,1,1,1
Dashrath Gram Panchayat,2000000.0,4,1,1,1
GP BAMADADIH,2000000.0,4,1,1,1
SARPANCH SECRETARY GRAM PANCHAYAT SHYAMATORI,2000000.0,4,1,1,1
MS MINONG ENTERPRISE,2000000.0,2,1,1,1
GP BEEDPURA JP SANCHI,2000000.0,4,1,1,1
R Moorthi,2000000.0,4,1,1,1
GRAM PANCHAYAT MUJGAHAN,2000000.0,4,1,1,1
MS K P Enterprise,2000000.0,4,1,1,1
Nagpal Agro Industries,2000000.0,5,1,1,1
Jaban Gram Panchayat,2000000.0,4,1,1,1
P KUMAR,2000000.0,2,1,1,1
SHREYAS CONTRACTORS,2000000.0,2,1,1,1
Rajasthan Electronics And Instruments Limited,2000000.0,2,1,1,1
SARPANCH GRAM PANCHYAT PAHANDA A,2000000.0,10,1,1,1
GRAM PANCHAYAT KACHNARIYA,2000000.0,2,1,1,1
Gram Panchayat Hathnawar janpad Panchayat Dharmpuri District Dhar,2000000.0,7,1,2,1
MAK AND SONS Enterprises,2000000.0,4,1,1,1
gram panchayat khiod,2000000.0,4,1,1,1
DEBASISH SAHOO,2000000.0,2,1,2,1
GRAM PANCHAYAT ITARWA,2000000.0,4,1,2,1
Panchavada Gram Panchayat,2000000.0,4,1,1,1
Don Bosco College,2000000.0,1,1,1,1
Mota Bhadiya gram panchayt,2000000.0,4,1,2,1
R R KUDARI CIVIL CONTRACTOR,2000000.0,8,1,1,1
Sri Periyandichiamman Constructions,2000000.0,1,1,1,1
C Ashok,2000000.0,2,1,1,1
Kandhasamy N,2000000.0,1,1,1,1
Geyum Padu,2000000.0,2,1,1,1
Gram Panchayat Khirkhit,2000000.0,4,1,1,1
Lunkhoneh,2000000.0,2,1,1,1
PURAN CHOUDHARY CONSTRUCTION COMPANY,1999998.0,4,1,1,1
Chirayu Prakash Mungad,1999984.0,2,1,1,1
Gram Panchayat Mandwi jp Manawar,1999878.0,4,1,2,1
KALAPATI SURESH,1999842.0,4,1,2,1
RLatha,1999836.0,1,1,1,1
GRAM PANCHAYAT KOPRA,1999805.0,4,1,2,1
YUVARAJ KUMAR SHETTY M,1999800.0,4,1,1,1
CHEJARLA BHASKAR REDDY,1999760.0,4,1,2,1
Sangey Norbu Sermu,1999759.0,2,1,1,1
GRAM PANCHAYAT NISHALIYA,1999700.0,7,1,1,1
NARRAVULA ASMATH KUMAR,1999688.0,4,1,2,1
MS ASHOK ENTERPRISE,1999663.0,3,1,1,1
GRAM PANCHAYAT DURGAPALI,1999600.0,4,1,1,1
SUBH LABH ENTERPRISES,1999550.0,2,1,1,1
N SARAVANAN,1999433.0,4,1,2,1
SANDHYA RANI ENTERPRISE,1999375.0,5,1,1,1
SRILA CONSTRUCTION,1999309.0,10,1,1,1
GRAM PANCHAYAT BHAISAKHURI,1999300.0,4,1,1,1
GH SCAFFOLDERS,1999276.0,30,1,1,1
GRAM PANCHAYAT Chhipon,1999229.0,4,1,1,1
Senthil C,1999210.0,5,1,2,1
Gram panchayat Singhanpur,1999100.0,4,1,1,1
B C Enterprises,1999060.0,6,1,1,1
NARAYANA SHETTY,1999002.0,4,1,1,1
SIR VISHVESHWARAYYA SUSHIKSHIT BEROJGARABHIYANTA SEVA,1999000.0,1,1,1,1
RIDDHI VILAS PATIL,1999000.0,4,1,1,1
SARPANCH GRAM PANCHYAT Kikirmeta,1998960.0,4,1,1,1
GRAM PANCHAYAT SHAHWAJPUR,1998910.0,4,1,1,1
Saraswati Shishu Mandir Samiti Shahdol,1998900.0,4,1,2,1
BHUMIKA BUILDING MATERIAL AND SUPPLIERS,1998830.0,2,1,1,1
GRAM PANCHAYAT RUPAPALI,1998800.0,4,1,1,1
H Srihari,1998780.0,2,1,1,1
GRAM PANCHAYAT BODESRA,1998778.0,4,1,1,1
PALASH ALAM,1998723.0,4,1,1,1
UGHROJ GRAM PANCHAYAT,1998652.0,4,1,1,2
M Rajendran,1998601.0,1,1,1,1
Mss ASHAPURA CONSTRUCTION COMPANY SINER,1998568.0,2,1,1,1
Renuka Co Op Lcs Ltd,1998482.0,1,1,1,1
Jay Hanuman Co Op Lcs Ltd,1998482.0,1,1,1,1
Gangotri majoor sahakari sanstha maryadidt,1998481.0,1,1,1,1
Om Sakthi Majoor Sahakari Sanstha Maryadit,1998481.0,1,1,1,1
Ashok Construction Co,1998481.0,1,1,1,1
Vinayaga Constructions and Earth Movers,1998477.0,1,1,1,1
S IMMANUVEL,1998443.0,2,1,1,1
Sarpanch Gram Panchayat LONIKALA,1998400.0,4,1,1,1
SARPANCH SACHIV GRAM PANCHAYT DHURDHURU,1998267.0,4,1,1,1
Narayan Ramrao Tamanna,1998028.0,2,1,1,1
SARPANCH SACHIV GRAM PANCHAYAT KHIRKHIRI,1998000.0,5,1,1,1
DIPESH SUDHIR PARAB,1998000.0,2,1,1,1
gram panchyat jhadel,1997937.0,4,1,1,1
Janta Majoor Sahakari Sanstha Maryadit Patoda,1997796.0,2,1,1,1
The Malad Cp Op Labour Society Ltd,1997775.0,1,1,1,1
SELVAM,1997509.0,1,1,1,1
T Rajalingaiah,1997156.0,4,1,1,1
gram panchayat badagaon,1997056.0,4,1,1,1
Sakthivel A,1997016.0,2,1,1,1
HAPA GRAM PANCHAYAT,1996926.0,4,1,1,1
RAJESHWARI R,1996846.0,2,1,1,1
ANUJ KUMAR CHANDAN,1996439.0,5,1,1,2
Gram Panchayat Budhi Barod,1996291.0,4,1,1,1
SIMHADRI AYYAPPA,1996010.0,4,1,2,1
ANIL KUMAR JAISWAL,1996008.0,4,1,2,1
Om Deepak Deshmukh,1996000.0,2,1,1,1
GRAM PANCHAYAT MALIYA HATINA,1995956.0,4,1,1,1
A JOHNROBERTSON,1995568.0,2,1,1,1
GANESH MAJUR SAHAKARI SANSTHALTD LINGNOOR,1995413.0,2,1,1,1
ROHIT KUMAR,1995153.0,4,3,3,3
VEERBHADRA,1995064.0,4,1,1,1
MANTHAN MORESHWAR JADHAV,1995014.0,4,1,1,1
Sarpanch Sachiv Gram Panchayat Devalkho,1995000.0,4,1,1,1
Gram Panchayat Udaypur,1995000.0,4,1,2,1
MILAN SAHAKARI MAJUR SANSTHA MARYADIT SOLAPUR,1993976.0,2,1,1,1
KASHTKARI M K SAHA STY LTD,1993305.0,2,1,1,1
BASANAGOUDA RUDRAGOUDA MALAGINAHALLI,1993101.0,6,1,1,1
Haneefa Construction,1992832.0,2,1,1,1
polimera chinna nagireddy,1992620.0,4,1,1,1
MANOB DUTTA,1992570.0,20,1,1,1
B RAVI,1992254.0,2,1,1,1
G CHANDRA SEKHAR,1992248.0,4,1,1,1
KHIMALIYA GRAM PANCHAYAT,1991994.0,4,1,1,1
BHERUNATH CONTRACTOR AND TRADERS,1991673.0,4,1,1,1
H H INFRASTRUCTURE,1991645.0,2,1,1,1
GRAM PANCHAYAT KRUSHNUR TQ NAIGAON,1991572.0,2,1,1,1
Buddha Singh,1991356.0,8,1,1,2
SHAHIL CONSTRUCTION,1991060.0,1,1,1,1
SALGARE SUJIT MAHARUDRA,1991059.0,1,1,1,1
Ch Panchmukhi Maruti MSS Ltd,1990614.0,2,1,1,1
vividha vikas yojana grampanchyat mandavi,1990554.0,2,1,1,1
Sar Schiv Silwati rampur,1989971.0,4,1,1,1
Sarpanch Secretary Gram Panchayat Badrikheda,1989836.0,4,1,1,1
PARAG BALIRAM SHIRSATH,1989086.0,2,1,1,1
RUBI M S S LTD,1988440.0,4,1,2,1
DEEPAK TOMAR,1988278.0,6,1,1,1
NITIN DNYANDEV RADE,1987914.0,2,1,1,1
SIPRA ART,1987417.0,7,1,1,1
A K ENTERPRISES PROP ABHISHEK KUMAR,1987084.0,2,1,2,1
Y N Enterprises,1987000.0,1,1,1,1
A K Contractor,1986976.0,2,1,1,1
HARIPRASAD K,1986776.0,4,1,1,1
JAGANATH PRADHAN,1986699.0,7,1,1,1
K SRINIVASULU,1986123.0,4,2,3,2
digambar vitthal koradkar,1984755.0,2,1,1,1
DALIA ENTERPRISE,1984692.0,6,1,1,1
GYALCHEN TAMANG,1984523.0,4,1,1,1
SHILA RANI CONSTRUCTION,1984515.0,9,1,2,1
ISHA ENTERPRISES PRO  POOJA KUMARI,1984076.0,2,1,1,1
VIKI VITHALRAO BHADE,1983888.0,2,1,1,1
ETHAYAVANAN D,1983807.0,5,1,1,1
SHUBHAM VILASRAO CHAVHAN,1983152.0,2,1,1,1
Veterinary Equipment Technologies,1983000.0,3,1,1,1
VINDHYA SOLAR AND LIGHTING SOLUTIONS,1982860.0,2,1,1,1
SHRI LAXMI ENTERPRISES,1982751.0,3,1,2,1
GRAM PANCHAYAT HATKONGERA,1982742.0,4,1,2,1
KANDAKATLA MAHENDER,1982552.0,1,1,1,1
Jai hind penting plumber road v building works majur,1981405.0,1,1,1,1
Acadamic hight the childrane academy,1980000.0,4,1,1,1
GP LAHDARA,1980000.0,4,1,2,1
SOMESWAR NARZARY,1980000.0,2,1,1,1
RINKESH KUMAR,1979746.0,2,1,2,1
MANOJ KUMAR PASWAN,1979714.0,2,1,2,1
VEDANT ENTERPRISES PROP RANJEET KUMAR,1979502.0,2,1,2,1
INFRAPOWER,1979387.0,2,1,1,1
BALACHANDRAN R,1979029.0,1,1,1,1
SURYANSH ENTERPRISES,1978926.0,3,1,3,1
PUTALAI MAJOR SAHAKARI SANSTHA MARYAD NAVISHEMALI,1978912.0,2,1,1,1
Gajanan Gangadharrao Barke,1978744.0,3,1,1,1
SARPANCH  GRAMSEVAK GRAMPANCHAYAT HIRADPURI TQ PAITHAN,1978714.0,3,1,1,1
ms RP CONSTRUCTION PRO VIJAY BAHADUR PANDEY,1978471.0,3,1,1,1
VARGHESE CHACKO,1978152.0,3,1,1,1
Thuvva Bhageeratha Reddy,1977126.0,4,1,1,1
Executive Engineer Panchayati Raj Rupnagar   Division Ropar,1976800.0,2,1,1,1
SUJAY SUNIL AROTE,1976000.0,2,1,1,1
vishal ramdas nikam,1975824.0,2,1,1,1
Giridhar Digambar PatilDakore,1975637.0,1,1,1,1
JOSEPH JOSE,1975243.0,3,1,1,1
GRAM PANCHAYAT NOGAMA,1974742.0,7,2,2,2
Kollati Veera Swamy Naidu,1974144.0,4,1,2,1
JAYESH SHAHAJI GHUGE,1973986.0,2,1,1,1
PHUTELA COMPUTER KINGDOM,1973888.0,2,1,1,1
NALLA KRISHNA CHAITANYA,1973727.0,4,1,1,1
BITUL SAIKIA,1973596.0,27,1,1,1
SHRISHAIL BUDDAPPA HONNAKORE,1973421.0,8,1,2,1
Sri Amman Construction,1973111.0,2,1,1,1
INDRANIL CONSTRUCTION,1972737.0,3,1,2,1
Gram Panchayat Dorli tq Bhokar,1971560.0,2,1,1,1
SHRI BALAJI MAJUR VA BANDHKAM SAHAKARI SANSTHA,1971528.0,2,1,1,1
JYOTI RANJAN BEHERA,1970958.0,2,1,1,1
Ummed Enterprises,1970420.0,4,1,1,1
Ms Poonam Construction Company,1969656.0,4,1,1,1
LOVELY AUTOS,1969404.0,8,1,2,1
JASPAL TRADING CO,1968351.0,59,1,1,1
MS KUNAL ELECTRICALS CONTRACTOR YAVATMAL,1968307.0,5,1,1,1
K S Construction,1967994.0,1,1,1,1
MS Ashutosh Electricals Yavatmal,1967839.0,5,1,1,1
NARSINGH KUMAR CONTRACTOR,1967532.0,28,1,1,1
PINKI KRISHI UDYAMI SEVA KENDRA PROP PINKI KUMARI,1967350.0,2,1,1,1
Patel Associates,1965693.0,1,1,1,1
Jeyaraman S,1965471.0,2,1,1,1
Pankaj Saikia,1965439.0,4,1,1,1
assistant engineer sahpur,1965342.0,2,1,1,1
Narsinga Srinivas,1964986.0,1,1,1,1
The Aaditya cooperative labour and consruction society,1964309.0,3,1,1,1
BPA CONSTRUCTION,1963560.0,2,1,1,1
GANGADHAR SIRIGADE,1963289.0,5,1,1,1
MAA KALIKA CONSTRUCTION,1963009.0,6,1,1,1
ABDUL HAMID,1961900.0,1,1,1,1
KUKATI KAILASAM,1961232.0,4,1,2,1
YELSHETTIAPPAGOUDA,1960000.0,8,1,2,1
SOCIAL AND ECONOMIC LIFE DEVELOPMENT DISTRICT KHATARSHNONG,1960000.0,7,1,1,1
G Ravichandran,1958741.0,2,1,1,1
BHARGAVA RAM ENTERPRISES,1958636.0,4,1,1,1
MPEB Dewas,1957832.0,13,1,2,1
Guru Nanak Tiles,1953833.0,32,2,3,2
SECRETARY G.P. NAYGAON,1953650.0,2,1,1,1
NITUL BARUAH,1953550.0,13,1,1,1
Pravin W Kale,1952726.0,3,1,1,1
MUNMUN ENTERPRISE,1952000.0,5,1,1,1
GRAM PANCHAYAT DAMAKHEDA,1950000.0,6,1,1,1
R MUTHUSAMY,1950000.0,6,1,1,1
SONIA BAI MITTAL,1950000.0,4,1,1,1
GRAM PANCHAYAT BATRA,1950000.0,10,1,1,1
MGNREGS CONVERGENCE FUND,1950000.0,3,1,1,1
MGNREGS Convergence Fund BDO VPts Gandarvakottai,1950000.0,3,1,1,1
GRAM PANCHAYAT KHERAI,1950000.0,9,1,1,1
BDO TISSA,1950000.0,15,1,1,1
SAMARPADA GROUP GRAM PANCHAYT,1950000.0,6,1,1,1
PONNIAMMAN ENTERPRISES,1949958.0,3,1,1,1
T Shyam Enterprises,1949889.0,3,1,1,1
Cantilever Engineers,1949850.0,2,1,1,1
shree balaji treders,1949817.0,6,1,2,1
V Murali,1948743.0,3,1,1,1
DEGAM GRAM PANCHAYAT,1947986.0,12,1,1,1
ARGHYA CONSTRUCTION,1947942.0,3,1,1,1
pushpa majoor k s sty,1947772.0,2,1,1,1
SAO MANNROW CONSTRUCTIONS PRIVATE LIMITED,1947249.0,1,1,1,1
GRAM PANCHAYAT HUNKRA,1947210.0,12,1,1,1
SOURODIP SARKAR,1946100.0,6,1,2,1
KALLEM MALLA REDDY,1945266.0,6,1,1,1
UNTADI GRAM PANCHAYAT,1944721.0,4,1,1,1
V KARUTHIRUMAN,1944524.0,1,1,1,1
Mohd Waseem Raja Batloo,1943895.0,3,1,1,1
MS SHRI SIDH JI CONTRACTOR,1943667.0,3,1,1,1
Venu A,1943205.0,3,1,1,1
RANGDAS SWAMI M S S LTD POKHARI,1942986.0,2,1,1,2
Khutal Vibhag Mkss,1942730.0,4,1,1,1
ASSISTANT ENGINEER DINARA,1941312.0,3,1,1,1
ARPAN ENTERPRISE,1938396.0,6,1,1,1
BDO BARANGA MP LAD AC,1938232.0,5,2,2,1
MAJUMDER ENTERPRISE,1937886.0,6,2,3,1
Neeraj Electricals,1937734.0,3,2,2,2
SOVAN CONSTRUCTION,1935627.0,3,1,1,1
Shiva Builders,1935390.0,9,1,1,1
vishal vilas gholap,1934940.0,4,1,1,1
MUNDARA Construction Company,1934910.0,3,1,1,1
JDVVNL,1934714.0,11,1,1,1
ehrar kha,1934688.0,2,1,1,1
GILL BUILDING MATERIAL,1930158.0,25,1,2,1
K SAJEEVAN,1929300.0,1,1,1,1
THE OM,1929132.0,6,1,1,1
P P MUSTHAFA,1926704.0,2,1,1,1
MANOJ KUMAR PANDA,1926057.0,6,1,2,1
RAGHAV TRADERS,1925640.0,15,1,2,1
RAMA KANT,1925326.0,15,1,1,1
GRAM PANCHAYAT AMBHETA,1925000.0,7,1,1,1
Farooq Ahmad Wani,1925000.0,1,1,1,1
AKHIL ANIL PALKAR,1923708.0,3,1,1,1
Bajwa Interlock Tile Factory Building Material,1923560.0,15,1,1,1
JANUGAMA RAMESH,1923204.0,6,1,1,1
G SRINIVAS,1922234.0,5,1,1,1
shree pitra krpa,1922161.0,4,1,1,1
PAWAN ANANTU JARIYE,1922000.0,2,1,2,1
The Sukhmani Co Op LC Society Ltd,1921545.0,7,1,1,1
ANIL KUMAR,1920648.0,7,3,3,3
BUILDGOOD COUNSTRUCTION AND DOVELOPMENT,1920564.0,4,1,2,1
JEEVA ENTERPRISES,1920483.0,3,1,2,1
L VEERABHADRAIAH,1919084.0,11,1,1,1
MS SUBRATA SAHA,1918541.0,1,1,1,1
Shayam Enterprises,1918535.0,2,1,1,1
S P Construction,1918246.0,4,1,1,1
THE ELIZA COOP L AND C SOCIETY LTD,1916980.0,5,1,2,1
ASSISTANT ENGINEER JAGDISHPUR,1916576.0,2,1,1,1
SAHAYAK ABHIYANTA RAFIGANJ BIDHANSHABHA KSHETRA,1915343.0,4,1,3,1
ms om construction company,1915131.0,3,1,1,1
Sarpanh gram panchyat ilmidi,1914640.0,4,1,2,1
MUKHERJEE ENTERPRISE,1913664.0,3,1,1,1
JNANENDRA DOLEY,1912644.0,18,1,1,1
VINIT KUMAR,1912393.0,2,1,1,1
SANGRAM KESHARI PARIDA,1912000.0,8,1,1,1
SHAHID SAINIK CONSTRUCITON COMPANY,1911770.0,4,1,1,1
GRAM PANCHAYAT DONGARIYA,1911246.0,6,1,1,1
MUHAMMAD IMTIYAZ KHAN,1911050.0,5,1,1,1
Pro lite India,1909527.0,1,1,1,1
Balveer Singh Rathore,1909136.0,1,1,1,1
The Ramgarhia Road Society Limited,1908000.0,12,1,1,1
VASANTHAM ENTERPRISES,1906712.0,1,1,1,1
OISHI MULTI SERVICES,1906614.0,5,1,1,1
MAA GAYATRI ENTERPRISES,1905706.0,5,1,1,1
SASMITA HEMBRAM,1904628.0,6,1,2,1
BAJRANG CONSTRUCTION,1903217.0,7,1,1,1
Devid PROP OF GOOWILL FIRMS,1903166.0,4,2,3,1
Shiv Construction,1900000.0,4,1,1,1
SARPANCH GRAM PANCHAYAT KODAPAR,1900000.0,4,1,1,1
VIGNESHWARAN,1900000.0,1,1,1,1
KONDH GRAM PANCHAYAT,1900000.0,5,1,1,1
SARASWATI SHISHU MANDIR HINDORIYA,1900000.0,7,1,1,1
GRAM PANCHAYAT NANDELI,1899976.0,8,2,3,2
Dattatray Damodar Niphade,1899888.0,2,1,1,1
Gram Panchayat Borigaon,1899717.0,4,1,2,1
TS SEKAR,1899126.0,1,1,1,1
BASPA GRAM PANCHAYAT,1899100.0,5,1,1,1
SASTHA ELECTRICAL WORKS,1899048.0,4,1,1,1
A GURIVI REDDY,1899023.0,4,1,1,2
PARKLANDS SOLAR PRIVATE LIMITED,1899000.0,19,1,1,1
Ms Surya Mssm,1897047.0,1,1,1,1
GRAM PANCHYAT SIMALIA,1897000.0,5,1,1,1
Mushtaq Ahmed,1897000.0,2,1,1,1
SD TRADING COMPANY,1896548.0,35,1,1,1
SIVANESH T,1895964.0,2,1,1,1
ABDO UTHIRAMERUR,1895235.0,3,1,2,2
shiv shakti construction and order supplier,1895080.0,1,1,1,1
JAI SINGH,1895063.0,8,3,4,3
VRS ENTERPRISES,1894952.0,3,2,2,2
V MURUGAN,1892959.0,4,1,1,1
MS JUNIOR ENGINEER LAMTAPUT BLOCK SUNIL KUMAR MAHAPATRA,1892215.0,7,1,2,1
GRAM PANCHAYAT SIHOT CHHOTI,1891617.0,6,1,1,1
GOKUL VASANT ILAG,1891082.0,2,1,1,1
Chairman Shramjivi Majoor Sahakari Sanstha Tuljapur,1890945.0,3,1,1,1
SHRINIVAS S MAVINAKAI CONTRACTOR,1889768.0,4,1,1,1
KESHYAP ENTERPRISE,1888872.0,3,1,1,1
Sweety Construction,1888785.0,1,1,1,1
ANOOP KUMAR SINGH SACHIN CONSTRUCTION,1887600.0,5,1,1,1
THE SAKSHAM CO OP LABOUR AND  CONSTRUCTION SOCIETY  LIMITED  SANKHOL,1887572.0,2,1,1,1
THE KUNDU CO OP SOCIETY LTD,1887359.0,3,1,1,1
RAJ CONSTRUCTION COMPANY,1887075.0,3,1,1,1
SARAPANCH SHREE GRAMPANCHAYAT MOTIPURA,1885000.0,4,1,1,1
Madhu J,1884066.0,3,1,1,1
NEW TODAWATA CONSTRUCTION,1883501.0,2,1,1,1
KESHRI NANDAN SAINI,1880485.0,4,1,1,1
Bhagwan Baba Mss Ltd Manepuri,1879540.0,2,1,1,1
NKT AND CO,1878429.0,3,1,1,1
Simla Cool Makers,1878264.0,4,1,1,1
SOLERGY SOLUTIONS,1877920.0,11,2,4,2
A V PANDU,1876700.0,10,1,1,1
RAJU SHARMA,1875000.0,24,1,2,1
mahendra kumar sharma,1875000.0,5,1,2,1
Mr MAHANTA NARZARY,1875000.0,2,1,1,1
AVINASH HADIMANI,1875000.0,5,1,1,1
SAPTSHANKARI PRIVATE LIMITED,1875000.0,3,1,1,1
PRASHANTKUMAR N GAYKAWAD,1875000.0,9,1,1,1
Surbhi Goubans Sewa and Paryavarn sansthan orchha,1875000.0,3,1,2,1
Gram Panchayat Aamet,1875000.0,7,1,1,1
Gram Panchayat Nimlai,1875000.0,6,1,1,1
VIJAYANAGARA NIRMITHI KENDRA,1875000.0,1,1,1,1
ekikrut budget vitran yojna hasnabaad,1875000.0,3,1,1,1
Himalya Boring Company,1874353.0,7,1,1,2
ARUN RAMAPPA BEVOOR,1874313.0,7,1,1,1
SHRI GANESH MAJUR SAHAKARI SANSTHA MARYADIT,1873909.0,2,1,1,1
Mr NAGARAJU MUMMADI,1873008.0,9,1,1,1
DEVAKUMARI D,1872711.0,5,1,1,1
