vendor_name,total_expenditure,tx_count,mp_count,constituency_count,district_count
MEDIA INFOTECH,20270208.0,5,2,2,1
A P DEVELOPERS,20218943.0,67,1,1,1
ASSISTANT ENGINEER BAGAHA LEGISLATIVE,20158090.0,31,1,1,1
KILDEEP MISHRA KRISHI SEWA KENDRA,20090691.0,13,1,1,1
MAA BHABANI CONSTRUCTION,20019385.0,9,1,2,1
M SHAW,20000000.0,6,1,1,1
Lokbharti Prakashan,20000000.0,10,1,3,1
BIDP INDIA PRIVATE LIMITED,19900000.0,20,1,1,1
Vishwanath Enterprises,19891197.0,39,1,1,1
SUNDAR T,19889507.0,35,1,2,1
UJJAL SAIKIA,19788202.0,56,1,1,2
AMIT KUMAR,19776117.0,48,4,4,4
Indranath Das,19766413.0,6,1,1,1
SCIDEMIC INDIA PRIVATE LIMITED,19760000.0,8,1,1,1
PANKAJ SARKAR,19658511.0,7,1,1,1
ASSISTANT ENGINEER ALAULI,19630401.0,15,1,1,1
SHREE RAM ENTERPRISES,19492627.0,150,4,5,4
ROY ENTERPRISE,19479021.0,21,2,2,1
ASSISTANT ENGINEER MPLADS RAMNAGAR,19447470.0,25,1,1,1
PRATIBHA PRATISHTHAN,19299844.0,60,4,4,4
SARASWATI CONSTRUCTION,19239352.0,34,1,2,1
Thallapaka Nagarjuna Reddy,19195550.0,41,1,2,1
ASST ENG SAKRA LAEO1 MUZ,19194859.0,23,1,1,1
MR DEVELOPERS,19099443.0,15,1,1,1
Sankaran,19034793.0,30,1,2,2
SHRI SAI ENGINEERING WORKS,18931237.0,84,1,1,2
DCM Infrastructure,18907616.0,49,1,1,1
ASSISTANT ENGINEER NATHNAGAR,18879575.0,16,1,1,1
Samona Enterprises,18877489.0,15,1,1,1
Rajshree Construction,18863502.0,29,1,1,1
ASSISTANT ENGINEER ASSEMBLY BELDOUR,18834984.0,18,1,1,1
VIJAYALAKSHMI BORE WELLS,18795513.0,94,1,1,1
JYOTISH ENTERPRISES,18714000.0,15,1,1,2
SHRI GANPATI CONSTRUCTION COMPANY,18713087.0,33,1,1,1
S T SOLUTIONS,18668577.0,6,1,1,1
CASHUTEC Nirmithi Kendra,18625000.0,19,1,2,1
Sujata Home Appliances Private Limited,18620183.0,80,1,1,1
Asst Engg Laeo Works Divb Saharsa Rahul Kumar Paswan,18601011.0,18,2,2,1
SUPER ELECTRICALS,18592088.0,38,1,2,1
SRI PONKAALIAMMAN INFRA PROJECTS,18590107.0,15,1,1,2
ONKAR NATH SINGH,18514026.0,27,1,2,1
SWAMI POWERTECH,18478681.0,109,1,1,2
SHANKRAJ CONSTRUCTION,18405885.0,4,1,1,1
THANUSH RAM CONSTRUCTION,18386943.0,21,1,1,1
Swara Enterprises,18312790.0,37,1,2,2
PANNALA NALINI,18305320.0,79,1,1,2
KIRPAL SINGH AND SONS,18247793.0,114,2,3,2
shri balaji construction,18135415.0,25,1,1,1
JAI MATA DI VP CONSTRUCTION,18055890.0,25,1,1,1
SATELITE ELECTRONICS,18000000.0,3,1,1,1
ANOUSHKA NIRMAN PVT LTD,18000000.0,36,1,1,1
Senior Deputy Magistrate Khowai,18000000.0,16,1,2,1
SELVANAYAKIAMMAN BUILDERS,18000000.0,3,1,1,1
KHALSA EXPORTS PRIVATE LIMITED,17996045.0,60,7,7,7
SUJIT KUMAR CHAKRABORTY,17912280.0,6,1,1,1
Ms Rahul International,17880000.0,3,1,2,1
SRI MURALI KRISHNA CONSTRUCTIONS,17876889.0,3,1,1,1
NAVASKHAN,17830680.0,12,1,2,1
BIDHANSABHA KESHETRA NAVINAGAR SAHAYAK ABHIYANTA,17817118.0,45,1,1,1
MP STATE AGRO INDUSTRIES DEV CORP LTD,17815965.0,123,1,2,1
MANAS KANTI ROY,17690326.0,51,1,1,1
NETTAM BALAKRISHNA,17677347.0,6,1,1,1
Jasnath Computer sale and service,17579935.0,65,1,1,2
Krishna Infratech,17491357.0,15,1,1,1
DINESH CHANDR SINGH,17456403.0,9,1,1,1
MS SHOBHNATH VERMA,17402042.0,43,1,1,1
SAMADON ENTERPRISE,17326880.0,6,1,1,3
MP STATE AGRO IND DEV CO LTD BARWANI,17262996.0,200,1,2,1
RAJAVEL,17255800.0,10,1,1,1
ASST ENGINEER LAEO WD I BEGUSARAI VSK MATHIHANI,17254485.0,16,1,1,1
Bommineni Ramanjineyulu,17243121.0,6,1,1,1
TOIJAM DEBANANDA SINGH,17226408.0,24,1,1,1
Royal Furniture Electricals,17200000.0,48,1,1,1
GIRIJA CONSTRUCTION,17038220.0,21,1,1,1
R A KARMIKA KOLAPAKKAM BOB,17000000.0,29,2,3,4
MONDAL SUPPLIERS,16963386.0,7,1,2,1
NPS CONSULTANT PRIVATE LIMITED,16945492.0,2,1,1,1
HANSH ENTERPRISES,16927160.0,5,1,1,2
Mohammed Hassan Ahemed,16908570.0,75,1,2,1
C P ENTERPRISE,16900000.0,19,1,1,1
RAJ CUNSTRUCTION AND SUPPLIER,16896858.0,176,1,2,1
GHATOURA AGRICULTURE WORKS,16883000.0,58,2,2,2
JUNIOR ENGINEER NREP SKL KSN,16826565.0,42,1,1,1
VARDHAN ASSOCIATES,16800388.0,62,1,1,1
paramount equipments,16793451.0,55,1,2,2
ASSISTANT ENGINEER KARAGAHAR,16766806.0,33,1,1,1
DHARMVIR KUMAR,16754167.0,17,1,2,1
